ADAL;Interneuron
ADAR;Interneuron
ADEL;Sensory neuron
ADER;Sensory neuron
ADFL;Sensory neuron (chemosensory)
ADFR;Sensory neuron (chemosensory)
ADLL;Sensory neuron (chemosensory, odorsensory, nociceptive)
ADLR;Sensory neuron (chemosensory, odorsensory, nociceptive)
AFDL;Sensory neuron (thermosensory and CO2- sensory)
AFDR;Sensory neuron (thermosensory and CO2- sensory)
AIAL;Interneuron
AIAR;Interneuron
AIBL;Interneuron
AIBR;Interneuron
AIML;Interneuron
AIMR;Interneuron
AINL;Interneuron
AINR;Interneuron
AIYL;Interneuron
AIYR;Interneuron
AIZL;Interneuron
AIZR;Interneuron
ALA;Interneuron
ALML;Sensory neuron (Mechanosensory)
ALMR;Sensory neuron (Mechanosensory)
ALNL;Neuron with unknown function
ALNR;Neuron with unknown function
AQR;Putative sensory neuron (Oxygen sensor)
AS1;Motor neuron
AS10;Motor neuron
AS11;Motor neuron
AS2;Motor neuron
AS3;Motor neuron
AS4;Motor neuron
AS5;Motor neuron
AS6;Motor neuron
AS7;Motor neuron
AS8;Motor neuron
AS9;Motor neuron
ASEL;Sensory neuron (Chemosensory)
ASER;Sensory neuron (Chemosensory)
ASGL;Sensory neuron (Chemosensory)
ASGR;Sensory neuron (Chemosensory)
ASHL;Sensory neuron (Osmo-, mechano- and odorsensory, nociceptive)
ASHR;Sensory neuron (Osmo-, mechano- and odorsensory, nociceptive)
ASIL;Sensory neuron (Chemosensory, thermosensory)
ASIR;Sensory neuron (Chemosensory, thermosensory)
ASJL;Sensory neuron
ASJR;Sensory neuron
ASKL;Sensory neuron (Chemosensory)
ASKR;Sensory neuron (Chemosensory)
AUAL;Interneuron
AUAR;Interneuron
AVAL;Interneuron
AVAR;Interneuron
AVBL;Interneuron
AVBR;Interneuron
AVDL;Interneuron
AVDR;Interneuron
AVEL;Interneuron
AVER;Interneuron
AVFL;Interneuron
AVFR;Interneuron
AVG;Interneuron
AVHL;Interneuron
AVHR;Interneuron
AVJL;Interneuron
AVJR;Interneuron
AVKL;Interneuron
AVKR;Interneuron
AVL;Polymodal (Interneuron/motor neuron)
AVM;Sensory neuron (Mechanosensory)
AWAL;Sensory neuron (Odorsensory)
AWAR;Sensory neuron (Odorsensory)
AWBL;Sensory neuron (Odorsensory)
AWBR;Sensory neuron (Odorsensory)
AWCL;Sensory neuron (Odorsensory and thermosensory)
AWCR;Sensory neuron (Odorsensory and thermosensory)
BAGL;Sensory neuron
BAGR;Sensory neuron
BDUL;Interneuron
BDUR;Interneuron
CANL*;Neuron with unknown function.
CANR*;Neuron with unknown function.
CEPDL;Sensory neuron (Putative Mechanosensory)
CEPDR;Sensory neuron (Putative Mechanosensory)
CEPVL;Sensory neuron (Putative Mechanosensory)
CEPVR;Sensory neuron (Putative Mechanosensory)
DA1;Motor neuron
DA2;Motor neuron
DA3;Motor neuron
DA4;Motor neuron
DA5;Motor neuron
DA6;Motor neuron
DA7;Motor neuron
DA8;Motor neuron
DA9;Motor neuron
DB1;Ventral cord motor neuron
DB2;Ventral cord motor neuron
DB3;Ventral cord motor neuron
DB4;Ventral cord motor neuron
DB5;Ventral cord motor neuron
DB6;Ventral cord motor neuron
DB7;Ventral cord motor neuron
DD1;Motor neuron
DD2;Motor neuron
DD3;Motor neuron
DD4;Motor neuron
DD5;Motor neuron
DD6;Motor neuron
DVA;Interneuron, stretch sensitive sensory neuron
DVB;Polymodal (Motor neuron/interneuron)
DVC;Interneuron
FLPL;"Sensory neuron (Mechanosensory) (name originally derived from ""FLAP"")"
FLPR;"Sensory neuron (Mechanosensory) (name originally derived from ""FLAP"")"
HSNL;Motor neuron
HSNR;Motor neuron
I1L;Pharyngeal interneuron
I1R;Pharyngeal interneuron
I2L;Pharyngeal interneuron
I2R;Pharyngeal interneuron
I3;Pharyngeal Interneuron
I4;Pharyngeal interneuron
I5;Pharyngeal interneuron (can also be a sensory neuron or both)
I6;Pharyngeal interneuron
IL1DL;All polymodal: [Sensory neuron (Mechanosensory), Motor neuron, Interneuron]
IL1DR;All polymodal: [Sensory neuron (Mechanosensory), Motor neuron, Interneuron]
IL1L;All polymodal: [Sensory neuron (Mechanosensory), Motor neuron, Interneuron]
IL1R;All polymodal: [Sensory neuron (Mechanosensory), Motor neuron, Interneuron]
IL1VL;All polymodal: [Sensory neuron (Mechanosensory), Motor neuron, Interneuron]
IL1VR;All polymodal: [Sensory neuron (Mechanosensory), Motor neuron, Interneuron]
IL2DL;Sensory neuron (Chemosensory?)
IL2DR;Sensory neuron (Chemosensory?)
IL2L;Sensory neuron (Chemosensory?)
IL2R;Sensory neuron (Chemosensory?)
IL2VL;Sensory neuron (Chemosensory?)
IL2VR;Sensory neuron (Chemosensory?)
LUAL;Interneuron
LUAR;Interneuron
M1;Pharyngeal neuron (Motor)
M2L;Pharyngeal neuron (Motor)
M2R;Pharyngeal neuron (Motor)
M3L;Pharyngeal neuron - motor (also possibly proprioceptive sensory)
